"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28"
"P_Llop_4 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_4 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,20,25,25,30,30,30,40
"P_Llop_4 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_4 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25
"P_Llop_4 2017 Tractament",0,0,0,0,0,0,0,0,5,10,10,10,15,40,50,50,50,60,80,90,100,100,100,100,100,100,100,100,100
"P_Llop_5 2015 Control",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"P_Llop_5 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,50,60,70,80,80,80,80,100,100,100,100,100,100,100
"P_Llop_5 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_5 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,40,40,50,80,85,85,90,95,95,95,99,99,99,100,100,100,100,100
"P_Llop_5 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_5 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,15,20,25,30,50,60,70,70,95,95,100,100,100,100
"P_Llop_6 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_6 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,20,20,20,30,35,35,40,40,40,45
"P_Llop_6 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_6 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,10,10,10,20,35,35,35,75,75,90,90,95
"P_Llop_6 2017 Tractament",0,0,0,0,0,0,0,20,25,40,60,70,80,90,90,90,100,100,100,100,100,100,100,100,100,100,100,100,100
"P_Llop_7 2015 Control",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"P_Llop_7 2015 Tractament",0,0,0,0,0,0,0,0,0,0,5,5,5,5,15,15,30,30,30,30,30,30,40,50,50,60,60,60,60
"P_Llop_7 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
