"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28"
"Vaca_2 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_2 2017 Tractament",0,0,0,0,0,0,0,5,5,10,10,20,30,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Vaca_21 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_21 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,50,50,70,70,70,100
"Vaca_21 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_21 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,50,60,80,90,100
"Vaca_21 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_21 2017 Tractament",0,0,0,0,0,0,0,0,0,0,5,15,50,85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Vaca_22 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Vaca_22 2015 Tractament",0,0,0,0,0,0,0,0,0,0,10,10,10,10,30,30,80,80,80,80,80,80,100,100,100,100,100,100,100
"Vaca_22 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_22 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,25,85,85,100,100,100,100,100,100,100,100,100
"Vaca_22 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_22 2017 Tractament",0,0,0,0,0,0,0,0,10,40,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Vaca_23 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_23 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_23 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_23 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,30,30,100,100,100,100,100
"Vaca_23 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,40,60,90,100,100,100,100,100,100,100,100,100,100
"Vaca_24 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_24 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Vaca_24 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_24 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,90,90,90,90,90
"Vaca_24 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,70,100,100,100,100,100,100,100,100,100,100,100
"Vaca_25 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_25 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,5,5,100,100,100,100,100,100,100
"Vaca_25 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_25 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,20,60,60,80,100,100,100,100,100,100,100,100
"Vaca_25 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_25 2017 Tractament",0,0,0,0,0,0,0,0,10,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Vaca_26 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_26 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,15,25,25,25,25,25,30
"Vaca_26 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_26 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10,10,15,20,20,20
"Vaca_26 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_26 2017 Tractament",0,0,0,0,0,0,0,0,5,5,5,15,50,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Vaca_3 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_3 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5
"Vaca_3 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_3 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,5,5,5,5,10,10,10
"Vaca_3 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_3 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,10,20,35,50,90,100,100,100,100,100,100,100,100,100,100,100,100
"Vaca_5 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_5 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Vaca_5 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_5 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,10,10,10,10,20,20,20,20,20
"Vaca_5 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_5 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,50,60,90,100,100,100,100,100,100,100,100,100,100
"Vaca_8 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_8 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Vaca_8 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_8 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10,10
"Vaca_8 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_8 2017 Tractament",0,0,0,0,0,0,0,10,15,20,30,30,40,40,70,90,100,100,100,100,100,100,100,100,100,100,100,100,100
"Vaca_NI_1_2015 2015 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,5,5,5,40,45,45,60,60,60,80
"Vaca_NI_1_2016 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_NI_1_2016 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,10,70,90,90,90,100,100,100,100,100
"Vaca_NI_1_2017 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_NI_2_2015 2015 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_NI_2_2016 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_NI_2_2016 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaca_NI_2_2017 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
